category,equipment_required,muscle,name
Strength,Cable,Biceps,Cable Hammer Curls - Rope Attachment
Strength,Other,Middle Back,Mixed Grip Chin
Strength,Cable,Quadriceps,Cable Hip Adduction
Strength,Dumbbell,Shoulders,Lying Rear Delt Raise
Strength,Kettlebells,Middle Back,One-Arm Kettlebell Row
Cardio,Machine,Quadriceps,Recumbent Bike
Cardio,Machine,Quadriceps,"Walking, Treadmill"
Strength,None,Middle Back,Inverted Row
Strength,Cable,Chest,Standing Cable Chest Press
Strength,Cable,Abdominals,Cable Reverse Crunch
Strength,Body Only,Triceps,Body Tricep Press
Strength,Bands,Shoulders,Band Pull Apart
Strength,Dumbbell,Hamstrings,Dumbbell Clean
Cardio,Body Only,Quadriceps,Butt Kicks
Strength,Body Only,Lats,Neutral-Grip Pull Ups
Strength,Machine,Lats,Machine-Assisted Pull-Up
Strength,Barbell,Quadriceps,Wide-Stance Barbell Squat
Plyometrics,Body Only,Quadriceps,Alien Squat
Strength,Barbell,Biceps,Reverse Barbell Curl
Strength,Dumbbell,Quadriceps,Dumbbell Step Ups
Strength,Machine,Abductors,Thigh Abductor
Strength,Cable,Triceps,Low Cable Triceps Extension
Strength,Barbell,Calves,Standing Barbell Calf Raise
Strength,Machine,Chest,Machine Bench Press
Strength,Barbell,Shoulders,Bradford/Rocky Presses
Strength,Dumbbell,Triceps,Seated Bent-Over Two-Arm Dumbbell Triceps Extension
Strength,Kettlebells,Shoulders,Kettlebell Turkish Get-Up (Lunge style)
Stretching,Foam Roll,Abductors,Iliotibial Tract-SMR
Olympic Weightlifting,Barbell,Quadriceps,Power Jerk
Plyometrics,Medicine Ball,Triceps,Supine Chest Throw
